"","x"
"1",1031406
"2",5089000
"3",4015304
"4",5079000
"5",6000000
"6",3031406
"7",1031406
"8",5089000
"9",5079000
"10",5079000
"11",3031406
"12",4015304
"13",5089000
"14",4015304
"15",5089000
"16",5079000
"17",1031406
"18",3031406
"19",4015304
"20",4021406
"21",4015304
"22",1031406
"23",1031406
"24",5079000
"25",1031406
"26",1051406
"27",1051406
"28",6000000
"29",1031406
"30",5079000
"31",3031406
"32",5089000
"33",3031406
"34",4015304
"35",1051406
"36",2031406
"37",5089000
"38",1031406
"39",4015304
"40",1031406
"41",5089000
"42",4015304
"43",5079000
"44",1031406
"45",1051406
"46",5089000
"47",4015304
"48",1051406
"49",4015304
"50",1031406
"51",1031406
"52",1069000
"53",4015304
"54",1051406
"55",1051406
"56",6000000
"57",4015304
"58",6000000
"59",1031406
"60",5079000
"61",5079000
"62",4021406
"63",2031406
"64",1031406
"65",5079000
"66",1051406
"67",5079000
"68",1051406
"69",6000000
"70",5079000
"71",1031406
"72",6000000
"73",1031406
"74",1031406
"75",6000000
"76",6000000
"77",4015304
"78",1031406
"79",6000000
"80",5089000
"81",5079000
"82",4015304
"83",5079000
"84",1031406
"85",3031406
"86",1051406
"87",6000000
"88",3031406
"89",6000000
"90",5079000
"91",5079000
"92",5079000
"93",6000000
"94",1051406
"95",1031406
"96",1031406
"97",1031406
"98",1031406
"99",5089000
"100",4015304
"101",6000000
"102",1061401
"103",1031406
"104",4015304
"105",5079000
"106",3031406
"107",5079000
"108",5089000
"109",5079000
"110",5079000
"111",6000000
"112",5089000
"113",1051406
"114",1031406
"115",4015304
"116",5079000
"117",2031406
"118",5089000
"119",6000000
"120",4021406
"121",6000000
"122",5079000
"123",5089000
"124",5099000
"125",6000000
"126",6000000
"127",3031406
"128",3031406
"129",2031406
"130",3031406
"131",3031406
"132",3031406
"133",4015304
"134",2031406
"135",3031406
"136",4031406
"137",5079000
"138",1031406
"139",1031406
"140",5099000
"141",4021406
"142",1031406
"143",4015304
"144",5079000
"145",6000000
"146",5089000
"147",2031406
"148",4015304
"149",5079000
"150",4015304
"151",5089000
"152",5079000
"153",3031406
"154",5079000
"155",5089000
"156",4015304
"157",6000000
"158",2031406
"159",5089000
"160",6000000
"161",1031406
"162",5079000
"163",1031406
"164",5079000
"165",1031406
"166",3031406
"167",4015304
"168",1051406
"169",1051406
"170",1051406
"171",4015304
"172",1051406
"173",5089000
"174",1031406
"175",4015304
"176",4015304
"177",4015304
"178",1051406
"179",1051406
"180",4015304
"181",5079000
"182",4015304
"183",4021406
"184",5099000
"185",4015304
"186",6000000
"187",3031406
"188",1051406
"189",5079000
"190",4015304
"191",4015304
"192",1051406
"193",4015304
"194",4021406
"195",4021406
"196",1031406
"197",5089000
"198",3031406
"199",4015304
"200",6000000
"201",1031406
"202",6000000
"203",6000000
"204",1069000
"205",6000000
"206",5079000
"207",4015304
"208",6000000
"209",6000000
"210",6000000
"211",3031406
"212",6000000
"213",6000000
"214",4015304
"215",1031406
"216",2031406
"217",5079000
"218",1031406
"219",1031406
"220",5079000
"221",1051406
"222",1031406
"223",1031406
"224",4015304
"225",5079000
"226",4021406
"227",3031406
"228",6000000
"229",5089000
"230",5089000
"231",5079000
"232",1051406
"233",4015304
"234",6000000
"235",6000000
"236",1031406
"237",6000000
"238",4015304
"239",6000000
"240",4015304
"241",5079000
"242",1051406
"243",5099000
"244",1031406
"245",5079000
"246",1051406
"247",3031406
"248",4015304
"249",4015304
"250",1031406
"251",5079000
"252",1031406
"253",1031406
"254",6000000
"255",5079000
"256",5079000
"257",1051406
"258",1051406
"259",6000000
"260",6000000
"261",1051406
"262",4015304
"263",4021406
"264",4015304
"265",4015304
"266",5089000
"267",6000000
"268",1031406
"269",6000000
"270",5089000
"271",1051406
"272",6000000
"273",6000000
"274",4015304
"275",1051406
"276",3031406
"277",6000000
"278",1031406
"279",6000000
"280",4015304
"281",3031406
"282",5079000
"283",5079000
"284",1031406
"285",1051406
"286",6000000
"287",2031406
"288",4021406
"289",4015304
"290",1051406
"291",6000000
"292",1031406
"293",1051406
"294",3031406
"295",4015304
"296",4021406
"297",5079000
"298",5079000
"299",6000000
"300",6000000
"301",4021406
"302",5079000
"303",4021406
"304",1051406
"305",4015304
"306",5079000
"307",3031406
"308",4015304
"309",1031406
