"","x"
"1",-9999
"2",101
"3",0
"4",41
"5",0
"6",0
"7",101
"8",101
"9",0
"10",0
"11",0
"12",101
"13",41
"14",0
"15",41
"16",0
"17",0
"18",101
"19",101
"20",41
"21",101
"22",41
"23",101
"24",101
"25",0
"26",101
"27",101
"28",101
"29",0
"30",101
"31",0
"32",101
"33",0
"34",101
"35",41
"36",101
"37",101
"38",0
"39",101
"40",41
"41",101
"42",0
"43",41
"44",0
"45",101
"46",101
"47",0
"48",41
"49",101
"50",41
"51",101
"52",101
"53",0
"54",41
"55",101
"56",101
"57",0
"58",41
"59",0
"60",101
"61",0
"62",0
"63",101
"64",101
"65",101
"66",0
"67",101
"68",0
"69",101
"70",0
"71",0
"72",101
"73",0
"74",101
"75",101
"76",0
"77",0
"78",41
"79",101
"80",0
"81",0
"82",0
"83",41
"84",0
"85",101
"86",101
"87",101
"88",0
"89",101
"90",0
"91",0
"92",0
"93",0
"94",0
"95",101
"96",101
"97",101
"98",101
"99",101
"100",0
"101",41
"102",0
"103",1
"104",101
"105",41
"106",0
"107",101
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",101
"115",101
"116",41
"117",0
"118",101
"119",0
"120",0
"121",101
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",101
"129",101
"130",101
"131",101
"132",101
"133",101
"134",41
"135",101
"136",101
"137",101
"138",0
"139",101
"140",101
"141",0
"142",101
"143",101
"144",41
"145",0
"146",0
"147",0
"148",101
"149",41
"150",0
"151",41
"152",0
"153",0
"154",101
"155",0
"156",0
"157",41
"158",0
"159",101
"160",0
"161",0
"162",101
"163",0
"164",101
"165",0
"166",101
"167",101
"168",41
"169",101
"170",101
"171",101
"172",41
"173",101
"174",0
"175",101
"176",41
"177",41
"178",41
"179",101
"180",101
"181",41
"182",0
"183",41
"184",101
"185",0
"186",41
"187",0
"188",101
"189",101
"190",0
"191",41
"192",41
"193",101
"194",41
"195",101
"196",101
"197",101
"198",0
"199",101
"200",41
"201",0
"202",101
"203",0
"204",0
"205",0
"206",0
"207",0
"208",41
"209",0
"210",0
"211",0
"212",101
"213",0
"214",0
"215",41
"216",101
"217",101
"218",0
"219",101
"220",101
"221",0
"222",101
"223",101
"224",101
"225",41
"226",0
"227",101
"228",101
"229",0
"230",0
"231",0
"232",0
"233",101
"234",41
"235",0
"236",0
"237",101
"238",0
"239",41
"240",0
"241",41
"242",0
"243",101
"244",0
"245",101
"246",0
"247",101
"248",101
"249",41
"250",41
"251",101
"252",0
"253",101
"254",101
"255",0
"256",0
"257",0
"258",101
"259",101
"260",0
"261",0
"262",101
"263",41
"264",101
"265",41
"266",41
"267",0
"268",0
"269",101
"270",0
"271",0
"272",101
"273",0
"274",0
"275",41
"276",101
"277",101
"278",0
"279",101
"280",0
"281",41
"282",101
"283",0
"284",0
"285",101
"286",101
"287",0
"288",101
"289",101
"290",41
"291",101
"292",0
"293",101
"294",101
"295",101
"296",41
"297",101
"298",0
"299",0
"300",0
"301",0
"302",101
"303",0
"304",101
"305",101
"306",41
"307",0
"308",101
"309",41
"310",101
"311",101
"312",101
"313",101
"314",0
"315",101
"316",101
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",101
"326",41
"327",101
"328",101
"329",101
"330",101
"331",0
"332",101
"333",101
"334",0
"335",101
"336",0
"337",0
"338",41
"339",0
"340",101
"341",101
"342",101
"343",101
"344",0
"345",101
"346",0
"347",101
"348",0
"349",101
"350",101
"351",101
"352",0
"353",0
"354",101
"355",101
"356",0
"357",0
"358",101
"359",0
"360",0
"361",0
"362",41
"363",0
"364",101
"365",0
"366",101
"367",101
"368",101
"369",41
"370",41
"371",101
"372",0
"373",0
"374",0
"375",0
"376",101
"377",101
"378",0
"379",0
"380",0
"381",101
"382",101
"383",101
"384",101
"385",101
"386",101
"387",0
"388",0
"389",101
"390",0
"391",101
"392",101
"393",101
"394",0
"395",101
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",41
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",41
"419",101
"420",101
"421",0
"422",0
"423",0
"424",41
"425",101
"426",0
"427",101
"428",0
"429",0
"430",0
"431",0
"432",0
"433",41
"434",101
"435",0
"436",101
"437",101
"438",0
"439",0
"440",0
"441",101
"442",101
"443",0
"444",0
"445",101
"446",101
"447",0
"448",101
"449",101
"450",0
"451",0
"452",101
"453",0
"454",101
"455",0
"456",0
"457",41
"458",0
"459",101
"460",101
"461",0
"462",0
"463",0
"464",101
"465",41
"466",0
